x,y,value,x.num,y.num,x.story,y.story,x.max,y.max,x.num.prop,y.num.prop,max.sim,num.prop.diff,num.prop.diff.abs,translation_steps,rscore.pred.diff,rscore.pred.diff.abs,rscore.avg.cos,rscore.avg.cos.med
eng1.134,eng1.134,1,134,134,eng1,eng1,158,158,0.8481012658227848,0.8481012658227848,1,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.135,eng1.135,0.99999976,135,135,eng1,eng1,158,158,0.8544303797468354,0.8544303797468354,0.99999976,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.136,eng1.136,1,136,136,eng1,eng1,158,158,0.8607594936708861,0.8607594936708861,1,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.137,eng1.137,1,137,137,eng1,eng1,158,158,0.8670886075949367,0.8670886075949367,1,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.138,eng1.138,0.9999999,138,138,eng1,eng1,158,158,0.8734177215189873,0.8734177215189873,0.9999999,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.139,eng1.139,1,139,139,eng1,eng1,158,158,0.879746835443038,0.879746835443038,1,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.140,eng1.140,1.0000005,140,140,eng1,eng1,158,158,0.8860759493670886,0.8860759493670886,1.0000005,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.141,eng1.141,0.9999999,141,141,eng1,eng1,158,158,0.8924050632911392,0.8924050632911392,0.9999999,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.142,eng1.142,1,142,142,eng1,eng1,158,158,0.8987341772151899,0.8987341772151899,1,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.143,eng1.143,0.99999994,143,143,eng1,eng1,158,158,0.9050632911392406,0.9050632911392406,0.99999994,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.144,eng1.144,1.0000002,144,144,eng1,eng1,158,158,0.9113924050632911,0.9113924050632911,1.0000002,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.145,eng1.145,0.99999994,145,145,eng1,eng1,158,158,0.9177215189873418,0.9177215189873418,0.99999994,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.146,eng1.146,1.0000001,146,146,eng1,eng1,158,158,0.9240506329113924,0.9240506329113924,1.0000001,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.147,eng1.147,1.0000002,147,147,eng1,eng1,158,158,0.930379746835443,0.930379746835443,1.0000002,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.148,eng1.148,1.0000001,148,148,eng1,eng1,158,158,0.9367088607594937,0.9367088607594937,1.0000001,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.149,eng1.149,1.0000001,149,149,eng1,eng1,158,158,0.9430379746835443,0.9430379746835443,1.0000001,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.150,eng1.150,1.0000002,150,150,eng1,eng1,158,158,0.9493670886075949,0.9493670886075949,1.0000002,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.151,eng1.151,1.0000002,151,151,eng1,eng1,158,158,0.9556962025316456,0.9556962025316456,1.0000002,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.152,eng1.152,1,152,152,eng1,eng1,158,158,0.9620253164556962,0.9620253164556962,1,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.153,eng1.153,0.99999976,153,153,eng1,eng1,158,158,0.9683544303797469,0.9683544303797469,0.99999976,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.154,eng1.154,0.9999999,154,154,eng1,eng1,158,158,0.9746835443037974,0.9746835443037974,0.9999999,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.155,eng1.155,0.9999998,155,155,eng1,eng1,158,158,0.9810126582278481,0.9810126582278481,0.9999998,0,0,0,0,0.007911392405063292,0.999999994875,1
