umap.x,umap.y,story,grain
2.1887155,4.9300814,2,1
3.6134775,4.7212067,2,1
3.3442242,3.8424802,2,1
2.7321243,3.2947373,2,1
3.679584,3.4243603,2,1
5.299001,4.2064962,2,1
4.374605,6.2574153,2,1
5.5740085,6.7201624,2,1
6.0418715,7.0389204,2,1
2.4163396,4.4869204,2,1
3.3759801,4.6438284,2,1
3.7122173,3.1013255,2,1
5.429263,7.0807676,2,1
7.2538443,6.930019,2,1
7.580351,5.8726773,2,1
7.3572655,6.1363807,2,1
7.4814334,6.0970063,2,1
6.8361926,6.1693068,2,1
7.090164,6.4961867,2,1
7.2091546,5.334308,2,1
7.246781,6.867501,2,1
6.53905,6.303003,2,1
6.2861996,4.859862,2,1
7.3479514,5.0724425,2,1
6.0886445,3.915182,2,1
4.0256734,2.9826229,2,1
4.972296,6.698882,2,1
4.2103796,7.3183537,2,1
3.0299582,8.304439,2,1
6.103655,8.347615,2,1
5.8884854,8.708788,2,1
3.8311062,5.398231,2,1
5.42883,5.350587,2,1
6.021871,5.230362,2,1
3.1815774,7.5795403,2,1
5.246921,7.8788204,2,1
5.0795474,7.743215,2,1
5.5657725,9.263355,2,1
4.6285214,8.288431,2,1
4.8818464,7.4355073,2,1
5.4376936,2.8633363,2,1
5.419094,2.7336347,2,1
4.654093,2.923896,2,1
2.532349,4.9779944,2,1
3.0112011,3.8584495,2,1
3.314412,3.7710667,2,1
3.6135128,8.0982065,2,1
4.7709002,3.813075,2,1
4.926616,3.6546845,2,1
4.69633,3.5804546,2,1
6.3475585,3.4250507,2,1
4.0610466,2.0741487,2,1
4.5588784,2.277325,2,1
5.504038,3.2371817,2,1
3.5542893,9.017647,3,1
4.1887436,9.569092,3,1
2.704455,6.993739,3,1
4.1840034,8.955476,3,1
4.2379065,10.006388,3,1
3.3508995,10.054062,3,1
3.1349308,10.310193,3,1
4.799375,9.869772,3,1
4.288681,10.37097,3,1
5.005919,9.5645,3,1
4.8836946,10.217835,3,1
4.195256,9.534207,3,1
3.0770018,6.246038,3,1
3.4204726,6.073672,3,1
2.1272612,5.706414,3,1
1.8444659,5.600514,3,1
4.3202157,4.492725,3,1
4.1656513,4.542932,3,1
4.638168,10.026163,3,1
3.6615527,10.060631,3,1
6.8474226,5.398894,3,1
2.7296607,5.625458,3,1
2.9128888,5.8599353,3,1
3.7330432,9.7585,3,1
4.078097,10.251673,3,1
-0.061461534,3.8654711,3,1
6.639947,7.1570415,3,1
4.713597,9.491553,3,1
3.5557663,9.033589,3,1
4.2251244,5.0278635,3,1
4.665441,4.112916,3,1
3.1254113,9.222208,3,1
3.0359833,9.667725,3,1
3.2560768,4.9572935,3,1
4.079573,8.043178,3,1
5.2198772,8.532879,3,1
4.8804154,8.698963,3,1
5.3145475,8.535211,3,1
1.736718,4.3271503,3,1
2.1794765,4.3468757,3,1
-0.3988604,3.8140657,3,1
3.308896,5.699571,3,1
2.8825352,3.884195,3,1
4.4087496,8.720603,3,1
6.132076,8.565407,3,1
3.3796504,9.570288,3,1
2.4046965,6.5022063,3,1
2.8243139,3.16037,3,1
1.9468539,6.837148,3,1
1.7562819,6.76714,3,1
5.9741006,3.735549,3,1
6.4436097,3.656435,3,1
5.756067,4.673373,3,1
4.2172723,1.9531574,3,1
4.472242,2.299449,3,1
5.5878515,3.3517652,3,1
6.5128293,3.6100678,3,1
6.420717,4.5250864,3,1
2.0002222,6.589765,3,1
3.332454,6.770056,3,1
3.260162,7.091601,3,1
2.7576382,8.997367,3,1
5.460932,4.674653,3,1
2.743143,7.6586695,3,1
5.5732017,8.297458,3,1
2.7666967,7.970347,3,1
3.3970752,8.722761,3,1
3.867823,8.525274,3,1
4.7631145,8.372778,3,1
5.6416078,8.515108,3,1
6.11203,6.6557193,3,1
4.0613565,7.7271667,3,1
3.7914479,6.2975864,3,1
2.6865451,4.161813,3,1
2.3720305,4.583241,3,1
5.1624913,5.475149,3,1
5.7582655,9.096573,3,1
6.304159,8.319801,3,1
5.784921,8.845598,3,1
5.7135344,8.371855,3,1
6.029649,8.037698,3,1
5.601053,7.9552083,3,1
5.6650167,9.511075,3,1
5.6847863,7.5474377,3,1
5.393805,9.650689,3,1
4.5173283,7.034967,3,1
4.598893,5.8819313,3,1
4.7387557,5.0439854,3,1
3.752962,4.368349,3,1
4.500904,6.475671,3,1
-0.489623,3.7628474,3,1
0.06585384,3.7539802,3,1
-0.38002536,3.7848666,3,1
0.013701557,3.7870495,3,1
2.4514074,3.3198912,3,1
2.5098782,3.6508167,3,1
3.7838054,5.171627,3,1
2.26143,4.9158072,3,1
3.5071292,4.684847,3,1
3.4415064,3.7176256,3,1
2.9170728,3.1744788,3,1
3.7914207,3.4747825,3,1
5.389336,4.110153,3,1
4.5197754,6.2581344,3,1
5.6434355,6.673559,3,1
5.9502525,7.0466237,3,1
6.753362,6.9901934,3,1
2.416864,4.517675,3,1
3.4838374,4.5694337,3,1
3.0172195,4.668149,3,1
3.4922585,3.1846135,3,1
5.4198675,7.0740776,3,1
7.337267,6.8127913,3,1
7.607801,5.858888,3,1
7.458436,6.1020994,3,1
7.195865,6.272162,3,1
6.7510533,6.7760425,3,1
7.4609194,5.8304048,3,1
6.6521516,6.054212,3,1
6.9073906,6.536111,3,1
7.22341,6.3080583,3,1
7.2583957,5.1965237,3,1
7.053831,5.569651,3,1
7.3359857,6.7828727,3,1
6.521763,6.2670445,3,1
6.3921266,4.9229918,3,1
7.41774,5.1000543,3,1
6.1863613,4.0243344,3,1
5.30757,2.9622798,3,1
3.9927623,3.0282903,3,1
5.0068984,6.818163,3,1
4.291482,7.2795324,3,1
2.9695427,8.253633,3,1
6.227118,8.333169,3,1
5.975077,8.815579,3,1
3.9265513,7.7407703,3,1
3.8716629,5.346866,3,1
5.427261,5.3896937,3,1
5.988869,5.212875,3,1
3.1699798,7.521157,3,1
5.5267396,7.7399716,3,1
4.634641,8.25109,3,1
5.1268897,7.638782,3,1
5.491156,9.444695,3,1
4.7485356,8.267602,3,1
5.054761,7.418019,3,1
5.4297857,2.8679774,3,1
5.510268,2.811186,3,1
5.0921574,2.602553,3,1
4.683046,2.8313594,3,1
3.6467917,7.9857883,3,1
4.7156672,3.73383,3,1
4.7002654,3.6897652,3,1
6.3495975,3.415143,3,1
4.098304,2.0519423,3,1
4.552646,2.3238769,3,1
5.559705,3.1943145,3,1
-0.1666703,3.912922,3,1
3.608224,8.985421,4,1
4.1217895,9.584851,4,1
2.4934757,6.0819774,4,1
2.6637022,6.905686,4,1
4.1310773,8.987588,4,1
4.19822,10.037831,4,1
3.221105,10.120831,4,1
3.1864352,10.307474,4,1
4.859458,9.804926,4,1
4.3932276,10.337334,4,1
4.9181986,9.719167,4,1
4.764071,10.171374,4,1
4.218954,9.306064,4,1
3.1400907,6.2587056,4,1
3.3938947,6.0081115,4,1
2.1540766,5.9536176,4,1
2.123145,5.6326394,4,1
0.12414791,3.9903286,4,1
1.8953916,5.72686,4,1
4.173474,4.516545,4,1
4.5973105,10.078422,4,1
3.5357218,10.055047,4,1
6.8278985,5.378108,4,1
2.8411124,5.517339,4,1
2.8225043,5.5113196,4,1
2.517654,5.501103,4,1
2.9186044,5.877302,4,1
3.6240377,9.817229,4,1
3.981243,10.230428,4,1
-0.09750668,3.9438925,4,1
-0.07184801,3.919154,4,1
6.663005,7.1027517,4,1
4.7408752,9.523333,4,1
3.495865,9.160377,4,1
4.161105,5.141316,4,1
4.687164,4.1277423,4,1
3.328322,8.969249,4,1
3.1311402,9.213184,4,1
2.9738507,9.6912365,4,1
3.2750726,4.9180107,4,1
4.0614333,8.087334,4,1
5.2258058,8.708792,4,1
4.8072557,8.761635,4,1
5.3099046,8.481363,4,1
2.0276375,4.720417,4,1
1.7760483,4.2296,4,1
2.1893911,4.377089,4,1
-0.4192592,3.827789,4,1
3.2889025,5.6707816,4,1
2.9350693,3.9506862,4,1
4.3250613,8.735777,4,1
6.098477,8.649808,4,1
3.3013122,9.548416,4,1
2.5194867,6.4560614,4,1
1.8791195,6.732522,4,1
1.8116332,6.2064614,4,1
1.6925627,6.9264307,4,1
5.9124603,3.7572591,4,1
6.442339,3.6285074,4,1
5.6762447,4.6926646,4,1
4.2226257,1.9479606,4,1
4.5293903,2.2736287,4,1
